Split,SubjectId,Subject,PA,AB,H,TB,BB,SF,HBP
vs LHH,621294,621294,6,5,1,1,1,0,0
vs RHH,621294,621294,9,8,2,6,0,0,1
vs LHH,621295,621295,6,5,1,1,1,0,0
vs RHH,621295,621295,3,3,1,2,0,0,0
vs LHH,621381,621381,2,2,2,3,0,0,0
vs RHH,621381,621381,22,16,2,2,5,0,1
vs LHH,621389,621389,23,21,2,2,1,0,0
vs RHH,621389,621389,28,25,5,9,3,0,0
vs LHH,622072,622072,8,7,0,0,1,0,0
vs RHH,622072,622072,5,5,1,1,0,0,0
vs LHH,622097,622097,21,19,4,11,2,0,0
vs RHH,622097,622097,20,15,5,7,4,0,1
vs LHH,622663,622663,17,11,3,3,5,0,1
vs RHH,622663,622663,28,25,6,12,2,0,1
vs LHH,622795,622795,3,3,1,2,0,0,0
vs RHH,622795,622795,5,4,0,0,1,0,0
vs LHH,623395,623395,16,13,3,4,3,0,0
vs RHH,623395,623395,19,17,4,5,2,0,0
vs LHH,623406,623406,5,5,2,2,0,0,0
vs RHH,623406,623406,3,3,2,3,0,0,0
vs LHH,623430,623430,14,12,5,7,2,0,0
vs RHH,623430,623430,14,13,2,5,1,0,0
vs LHH,623439,623439,9,9,5,6,0,0,0
vs RHH,623439,623439,15,15,2,5,0,0,0
vs LHH,624586,624586,13,9,1,1,2,0,1
vs RHH,624586,624586,15,11,1,1,4,0,0
vs LHH,625643,625643,22,18,3,7,4,0,0
vs RHH,625643,625643,30,27,8,11,2,0,0
vs LHH,628317,628317,40,35,12,20,4,0,1
vs RHH,628317,628317,36,32,6,9,4,0,0
vs LHH,628333,628333,8,8,4,5,0,0,0
vs RHH,628333,628333,5,3,0,0,1,1,0
vs LHH,628452,628452,13,12,5,11,1,0,0
vs RHH,628452,628452,20,18,2,3,1,0,1
vs LHH,628711,628711,7,6,2,3,0,0,0
vs RHH,628711,628711,14,12,2,3,2,0,0
vs LHH,640455,640455,13,12,3,4,0,0,1
vs RHH,640455,640455,58,54,9,13,4,0,0
vs LHH,640463,640463,35,31,10,17,4,0,0
vs RHH,640463,640463,33,30,7,12,2,0,1
vs LHH,641490,641490,1,1,0,0,0,0,0
vs RHH,641490,641490,2,2,0,0,0,0,0
vs LHH,641627,641627,3,3,1,1,0,0,0
vs RHH,641627,641627,12,10,3,4,1,0,1
vs LHH,641771,641771,31,27,10,13,2,1,0
vs RHH,641771,641771,58,55,15,21,2,0,1
vs LHH,641838,641838,17,14,4,8,3,0,0
vs RHH,641838,641838,12,10,3,3,1,0,0
vs LHH,642229,642229,24,23,7,13,1,0,0
vs RHH,642229,642229,67,59,19,26,4,1,3
vs LHH,642239,642239,2,2,0,0,0,0,0
vs RHH,642239,642239,18,15,4,5,2,1,0
vs LHH,643230,643230,7,4,1,1,3,0,0
vs RHH,643230,643230,29,27,10,18,2,0,0
vs LHH,643297,643297,8,8,1,1,0,0,0
vs RHH,643297,643297,11,7,2,2,3,1,0
vs LHH,643327,643327,20,18,2,4,1,0,0
vs RHH,643327,643327,24,22,7,11,1,0,0
vs LHH,643354,643354,13,10,0,0,2,0,0
vs RHH,643354,643354,8,8,3,6,0,0,0
vs LHH,643355,643355,11,11,3,4,0,0,0
vs RHH,643355,643355,8,7,2,4,1,0,0
vs LHH,656186,656186,8,7,1,1,0,0,1
vs RHH,656186,656186,19,19,5,6,0,0,0
vs LHH,656546,656546,18,16,4,5,2,0,0
vs RHH,656546,656546,20,17,3,3,3,0,0
vs LHH,656547,656547,6,5,1,2,0,1,0
vs RHH,656547,656547,17,15,5,6,2,0,0
vs LHH,664641,664641,10,10,2,3,0,0,0
vs RHH,664641,664641,50,48,8,24,2,0,0
vs LHP,108,108,176,163,37,63,11,0,2
vs RHP,108,108,459,401,99,147,50,3,3
vs LHP,109,109,158,144,36,53,12,1,0
vs RHP,109,109,463,418,92,170,34,2,4
vs LHP,110,110,159,143,36,59,15,1,0
vs RHP,110,110,473,424,95,155,33,6,6
vs LHP,111,111,147,130,30,51,15,0,0
vs RHP,111,111,491,434,109,176,50,2,4
vs LHP,112,112,85,75,23,33,10,0,0
vs RHP,112,112,570,495,134,223,61,2,10
vs LHP,113,113,143,130,29,52,10,1,2
vs RHP,113,113,508,461,135,199,28,5,4
vs LHP,114,114,165,137,31,50,24,1,1
vs RHP,114,114,425,361,85,133,42,8,9
vs LHP,115,115,209,195,50,72,9,1,1
vs RHP,115,115,397,366,109,174,24,2,2
vs LHP,116,116,124,109,27,46,14,1,0
vs RHP,116,116,495,435,125,213,47,3,8
vs LHP,117,117,141,132,26,42,8,0,0
vs RHP,117,117,447,409,108,157,31,3,3
vs LHP,118,118,192,172,52,88,14,3,1
vs RHP,118,118,432,409,101,156,15,1,6
vs LHP,119,119,291,267,58,87,20,1,3
vs RHP,119,119,364,317,91,144,39,3,3
vs LHP,120,120,135,121,33,53,11,1,1
vs RHP,120,120,444,393,100,159,37,5,5
vs LHP,121,121,109,97,26,36,10,0,1
vs RHP,121,121,546,476,132,219,56,4,8
vs LHP,133,133,135,123,33,58,12,0,0
vs RHP,133,133,504,457,104,176,46,1,0
vs LHP,134,134,117,99,24,27,15,3,0
vs RHP,134,134,591,523,137,230,59,2,5
vs LHP,135,135,145,130,30,50,11,0,1
vs RHP,135,135,424,388,91,150,25,3,7
vs LHP,136,136,154,140,37,61,12,0,1
vs RHP,136,136,475,425,101,161,40,2,5
vs LHP,137,137,253,235,49,70,15,2,1
vs RHP,137,137,390,339,104,154,41,5,2
vs LHP,138,138,176,154,42,72,14,3,3
vs RHP,138,138,457,411,108,169,34,4,6
vs LHP,139,139,169,153,38,56,10,3,3
vs RHP,139,139,456,428,96,171,23,0,5
vs LHP,140,140,61,55,14,18,5,0,1
vs RHP,140,140,488,451,111,186,31,0,5
vs LHP,141,141,113,99,18,27,13,1,0
vs RHP,141,141,547,452,119,184,76,6,6
vs LHP,142,142,217,198,41,71,15,2,0
vs RHP,142,142,377,333,67,112,39,1,2
vs LHP,143,143,86,73,24,38,7,1,5
vs RHP,143,143,548,492,126,186,46,1,3
vs LHP,144,144,157,140,47,74,9,2,4
vs RHP,144,144,405,356,93,139,38,3,2
vs LHP,145,145,152,137,36,52,12,2,1
vs RHP,145,145,477,443,117,206,30,2,2
vs LHP,146,146,59,56,14,20,3,0,0
vs RHP,146,146,503,449,99,160,42,2,6
vs LHP,147,147,312,282,82,130,23,1,3
vs RHP,147,147,333,295,71,108,32,4,1
vs LHP,158,158,157,147,36,62,8,1,0
vs RHP,158,158,433,394,90,165,36,0,2
